Date : 2021-04-23 23:35:06
Directory : /Users/richardzilahi/zilahir/petstore
Total : 66 files,  2328 codes, 172 comments, 225 blanks, all 2725 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         13 |      1,227 |         56 |         11 |      1,294 |
| TypeScript       |         18 |        547 |         66 |        114 |        727 |
| SCSS             |          7 |        201 |          5 |         29 |        235 |
| TypeScript React |         10 |        146 |         19 |         38 |        203 |
| Markdown         |          3 |         57 |          0 |         29 |         86 |
| YAML             |          3 |         52 |          0 |          1 |         53 |
| JavaScript       |          2 |         40 |          3 |          1 |         44 |
| CSS              |          1 |         30 |          0 |          1 |         31 |
| HTML             |          1 |         20 |         23 |          1 |         44 |
| XML              |          8 |          8 |          0 |          0 |          8 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         66 |      2,328 |        172 |        225 |      2,725 |
| packages                                                                                                           |         61 |      1,364 |        144 |        215 |      1,723 |
| packages/client                                                                                                    |         39 |        679 |         81 |        101 |        861 |
| packages/client/.storybook                                                                                         |          2 |         40 |          3 |          1 |         44 |
| packages/client/public                                                                                             |          2 |         45 |         23 |          2 |         70 |
| packages/client/src                                                                                                |         30 |        403 |         29 |         75 |        507 |
| packages/client/src/api                                                                                            |          1 |          4 |          0 |          2 |          6 |
| packages/client/src/components                                                                                     |          7 |        109 |          0 |         32 |        141 |
| packages/client/src/components/Header                                                                              |          4 |         92 |          0 |         22 |        114 |
| packages/client/src/components/Header/components                                                                   |          2 |         41 |          0 |         10 |         51 |
| packages/client/src/components/Header/components/NavLink                                                           |          2 |         41 |          0 |         10 |         51 |
| packages/client/src/components/common                                                                              |          3 |         17 |          0 |         10 |         27 |
| packages/client/src/components/common/Button                                                                       |          1 |          3 |          0 |          3 |          6 |
| packages/client/src/components/common/Layout                                                                       |          2 |         14 |          0 |          7 |         21 |
| packages/client/src/pages                                                                                          |          1 |          9 |          0 |          3 |         12 |
| packages/client/src/pages/Home                                                                                     |          1 |          9 |          0 |          3 |         12 |
| packages/client/src/stories                                                                                        |         11 |         96 |         18 |         12 |        126 |
| packages/client/src/stories/assets                                                                                 |          8 |          8 |          0 |          0 |          8 |
| packages/client/src/styles                                                                                         |          4 |        142 |          5 |         14 |        161 |
| packages/client/src/styles/misc                                                                                    |          2 |        131 |          5 |         11 |        147 |
| packages/client/src/styles/mixins                                                                                  |          2 |         11 |          0 |          3 |         14 |
| packages/client/src/tests                                                                                          |          1 |          8 |          1 |          2 |         11 |
| packages/server                                                                                                    |         22 |        685 |         63 |        114 |        862 |
| packages/server/config                                                                                             |          2 |         22 |          2 |          4 |         28 |
| packages/server/src                                                                                                |         13 |        510 |         59 |        104 |        673 |
| packages/server/src/file                                                                                           |          2 |         81 |          0 |         18 |         99 |
| packages/server/src/file/controllers                                                                               |          1 |         14 |          0 |          4 |         18 |
| packages/server/src/file/models                                                                                    |          1 |         67 |          0 |         14 |         81 |
| packages/server/src/middleware                                                                                     |          1 |         23 |          3 |          4 |         30 |
| packages/server/src/models                                                                                         |          2 |         59 |         13 |         10 |         82 |
| packages/server/src/routes                                                                                         |          4 |        275 |         30 |         52 |        357 |
| packages/server/src/routes/api                                                                                     |          4 |        275 |         30 |         52 |        357 |
| packages/server/src/types                                                                                          |          2 |          6 |          8 |          5 |         19 |
| packages/server/src/utils                                                                                          |          1 |          1 |          0 |          0 |          1 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                           | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/richardzilahi/zilahir/petstore/.prettierrc.json                                                             | JSON             |          9 |          0 |          1 |         10 |
| /Users/richardzilahi/zilahir/petstore/README.md                                                                    | Markdown         |         31 |          0 |          7 |         38 |
| /Users/richardzilahi/zilahir/petstore/docker-compose.yml                                                           | YAML             |         12 |          0 |          0 |         12 |
| /Users/richardzilahi/zilahir/petstore/package.json                                                                 | JSON             |         15 |         28 |          1 |         44 |
| /Users/richardzilahi/zilahir/petstore/packages/client/.eslintrc.json                                               | JSON             |         63 |          0 |          1 |         64 |
| /Users/richardzilahi/zilahir/petstore/packages/client/.storybook/main.js                                           | JavaScript       |         31 |          3 |          0 |         34 |
| /Users/richardzilahi/zilahir/petstore/packages/client/.storybook/preview.js                                        | JavaScript       |          9 |          0 |          1 |         10 |
| /Users/richardzilahi/zilahir/petstore/packages/client/.stylelintrc.json                                            | JSON             |          3 |         17 |          0 |         20 |
| /Users/richardzilahi/zilahir/petstore/packages/client/README.md                                                    | Markdown         |         26 |          0 |         21 |         47 |
| /Users/richardzilahi/zilahir/petstore/packages/client/package.json                                                 | JSON             |         73 |          9 |          0 |         82 |
| /Users/richardzilahi/zilahir/petstore/packages/client/public/index.html                                            | HTML             |         20 |         23 |          1 |         44 |
| /Users/richardzilahi/zilahir/petstore/packages/client/public/manifest.json                                         | JSON             |         25 |          0 |          1 |         26 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/api/apiEndpoints.ts                                      | TypeScript       |          4 |          0 |          2 |          6 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/app.tsx                                                  | TypeScript React |          9 |          0 |          3 |         12 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/components/Header/Header.module.scss                     | SCSS             |         31 |          0 |          8 |         39 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/components/Header/components/NavLink/NavLink.module.scss | SCSS             |         23 |          0 |          5 |         28 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/components/Header/components/NavLink/index.tsx           | TypeScript React |         18 |          0 |          5 |         23 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/components/Header/index.tsx                              | TypeScript React |         20 |          0 |          4 |         24 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/components/common/Button/index.tsx                       | TypeScript React |          3 |          0 |          3 |          6 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/components/common/Layout/Layout.module.scss              | SCSS             |          5 |          0 |          2 |          7 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/components/common/Layout/index.tsx                       | TypeScript React |          9 |          0 |          5 |         14 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/index.tsx                                                | TypeScript React |         12 |          0 |          2 |         14 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/pages/Home/index.tsx                                     | TypeScript React |          9 |          0 |          3 |         12 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/react-app-env.d.ts                                       | TypeScript       |          0 |          1 |          1 |          2 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/reportWebVitals.ts                                       | TypeScript       |         13 |          0 |          3 |         16 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/setupTests.ts                                            | TypeScript       |          1 |          4 |          1 |          6 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/Button.stories.tsx                               | TypeScript React |         30 |          0 |          8 |         38 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/Button.tsx                                       | TypeScript React |         28 |         18 |          3 |         49 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/code-brackets.svg                         | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/colors.svg                                | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/comments.svg                              | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/direction.svg                             | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/flow.svg                                  | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/plugin.svg                                | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/repo.svg                                  | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/assets/stackalt.svg                              | XML              |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/stories/button.css                                       | CSS              |         30 |          0 |          1 |         31 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/styles/misc/_fonts.scss                                  | SCSS             |          1 |          0 |          1 |          2 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/styles/misc/_reset.scss                                  | SCSS             |        130 |          5 |         10 |        145 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/styles/mixins/_box-shadow.scss                           | SCSS             |          3 |          0 |          1 |          4 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/styles/mixins/_typography.scss                           | SCSS             |          8 |          0 |          2 |         10 |
| /Users/richardzilahi/zilahir/petstore/packages/client/src/tests/App.test.tsx                                       | TypeScript React |          8 |          1 |          2 |         11 |
| /Users/richardzilahi/zilahir/petstore/packages/client/tsconfig.json                                                | JSON             |         26 |          0 |          1 |         27 |
| /Users/richardzilahi/zilahir/petstore/packages/server/.eslintrc.json                                               | JSON             |          6 |          0 |          1 |          7 |
| /Users/richardzilahi/zilahir/petstore/packages/server/README.md                                                    | Markdown         |          0 |          0 |          1 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/server/config/database.ts                                           | TypeScript       |         19 |          2 |          3 |         24 |
| /Users/richardzilahi/zilahir/petstore/packages/server/config/default.json                                          | JSON             |          3 |          0 |          1 |          4 |
| /Users/richardzilahi/zilahir/petstore/packages/server/docker-compose.yml                                           | YAML             |         12 |          0 |          0 |         12 |
| /Users/richardzilahi/zilahir/petstore/packages/server/package.json                                                 | JSON             |         51 |          0 |          1 |         52 |
| /Users/richardzilahi/zilahir/petstore/packages/server/serverless.yml                                               | YAML             |         28 |          0 |          1 |         29 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/file/controllers/file.controller.ts                      | TypeScript       |         14 |          0 |          4 |         18 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/file/models/file.model.ts                                | TypeScript       |         67 |          0 |         14 |         81 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/middleware/auth.ts                                       | TypeScript       |         23 |          3 |          4 |         30 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/models/Profile.ts                                        | TypeScript       |         33 |          7 |          5 |         45 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/models/User.ts                                           | TypeScript       |         26 |          6 |          5 |         37 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/routes/api/auth.ts                                       | TypeScript       |         74 |          6 |         12 |         92 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/routes/api/profile.ts                                    | TypeScript       |        119 |         20 |         22 |        161 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/routes/api/upload.ts                                     | TypeScript       |          9 |          0 |          3 |         12 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/routes/api/user.ts                                       | TypeScript       |         73 |          4 |         15 |         92 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/server.ts                                                | TypeScript       |         65 |          5 |         15 |         85 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/types/Payload.ts                                         | TypeScript       |          2 |          4 |          2 |          8 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/types/Request.ts                                         | TypeScript       |          4 |          4 |          3 |         11 |
| /Users/richardzilahi/zilahir/petstore/packages/server/src/utils/cleanIsbn.ts                                       | TypeScript       |          1 |          0 |          0 |          1 |
| /Users/richardzilahi/zilahir/petstore/packages/server/tsconfig.json                                                | JSON             |         14 |          2 |          1 |         17 |
| /Users/richardzilahi/zilahir/petstore/packages/server/tslint.json                                                  | JSON             |         42 |          0 |          1 |         43 |
| /Users/richardzilahi/zilahir/petstore/swagger.json                                                                 | JSON             |        897 |          0 |          1 |        898 |
| Total                                                                                                              |                  |      2,328 |        172 |        225 |      2,725 |
